"Site","Seagrass.pct.cover.site","Macroalgae.pct.cover.site","Zostera.AG.mass.site","Zostera.BG.mass.site","Zostera.shoots.core.site","Zostera.sheath.width.site","Zostera.sheath.length.site","Zostera.longest.leaf.length.site","epibiota.filter.site","epibiota.zostera.marina.site","periphyton.mass.per.g.zostera.site","mesograzer.abund.per.g.plant.site","crustacean.abund.per.g.plant.site","gastropod.abund.per.g.plant.site","mesograzer.mass.per.g.plant.site","crustacean.mass.per.g.plant.site","gastropod.mass.per.g.plant.site","mesograzer.mass.per.area.site","crustacean.mass.per.area.site","gastropod.mass.per.area.site","periphyton.mass.per.area.site","log10.grazer.richness.site","crust.pct.mass.site","gast.pct.mass.site","Leaf.PercN.site","leaf.CN.ratio.site","log10.Macroalgae.pct.cover.site","log10.Zostera.AG.mass.site","log10.Zostera.BG.mass.site","log10.Zostera.shoots.core.site","log10.Zostera.sheath.width.site","log10.Zostera.sheath.length.site","log10.Zostera.longest.leaf.length.cm.site","log10.periphyton.mass.per.g.zostera.site","log10.mesograzer.abund.per.g.plant.site","log10.crustacean.abund.per.g.plant.site","log10.gastropod.abund.per.g.plant.site","log10.mesograzer.mass.per.g.plant.site","log10.crustacean.mass.per.g.plant.site","log10.gastropod.mass.per.g.plant.site","log10.mesograzer.abund.per.area.site","log10.mesograzer.mass.per.area.site","log10.crustacean.mass.per.area.site","log10.gastropod.mass.per.area.site","log10.periphyton.mass.per.area.site","log10.Leaf.PercN.site","log10.predation.gastropods.site","predation.amphipods","predation.squidpops","predation.gastropods","grazer.richness.site","Ocean","Coast","Latitude","Longitude","Temperature.C","Salinity.ppt","log10.mean.fetch","day.length","log10.day.length","sst.min","sst.mean","sst.max","sst.range","salinity","parmean","cloudmean","precipitation","nitrate","sqrt.nitrate","ph","phosphate","log10.phosphate","chlomean","log10.chlomean","pop.density.2015","FC1","FC2","FC1.pac","FC2.pac","Site.1","PC1.env.pac","PC2.env.pac","PC3.env.pac","PC1.zos.site","PC2.zos.site","PC1.env.global","PC2.env.global","PC3.env.global","zLatitude.pac","zPC1.zos.pac","zPC2.zos.pac","zPC1.env.global.pac","zPC2.env.global.pac","zPC3.env.global.pac","zFC1.global.pac","zFC2.global.pac","zPC1.env.pac","zPC2.env.pac","zPC3.env.pac","zFC1.pac","zFC2.pac","zperiphyton.area.pac","zperiphyton.perg.pac","zmesograzer.mass.area.pac","zmesograzer.mass.perg.pac","rLatitude.pac","rPC1.zos.pac","rPC2.zos.pac","rPC1.env.global.pac","rPC2.env.global.pac","rPC3.env.global.pac","rFC1.global.pac","rFC2.global.pac","rPC1.env.pac","rPC2.env.pac","rPC3.env.pac","rFC1.pac","rFC2.pac","rperiphyton.area.pac","rperiphyton.perg.pac","rmesograzer.mass.area.pac","rmesograzer.mass.perg.pac"
"BB.A",83.2,17.8,186.85,63.45775,327.062643237,0.74425,14.72,67.811875,0.86605,2.89455,0.336948400217078,6.30266467139904,6.07031590656126,0.232348764837783,3.59174049004528,3.26604752186612,0.32569296817916,613.914421609495,565.845827633683,48.0685939758123,64.8602674417604,NA,0.830903131473094,0.169096868526906,2.95128000975,12.0378513098105,0.976502699963696,2.17483035194805,1.68797409125828,2.40382907935926,-0.131490549758177,1.14361791790011,1.81013199852622,-0.573270060720796,0.62272204272368,0.578369436032219,-1.24058470288494,0.340982045942594,0.226351647652606,-1.22339613841618,2.79313062527866,2.51073808489862,2.39397176354914,0.873876759360143,1.59741160628417,0.467901435869614,-0.726998727936262,0.526315789473684,0.4,0.1875,NA,"Pacific","East Pacific",38.319755,-123.055136,13,33,-0.138913854601613,14.5,1.16136800223497,10.81333319,12.19699987,14.38699977,3.573666732,33.45366669,35.31733449,0.546333313,91.58333333,3.673000018,1.91650724444235,8.20966657,0.754900018,-0.122110564273104,7.664000193,0.884455507007183,5,-898,308,0.22708,0.16268,"BB.A",-0.262692962475514,1.82029061894805,-0.625611806272691,-1.15301228830034,0.553267778604902,0.234226515965248,2.61186656126057,-0.635559107002251,-0.149401118947617,0.262103107163699,0.567085424708497,-0.0576395996078923,1.30767153334453,-0.774830473990808,-0.58514317771619,0.317233645691059,-0.133749121700893,1.26497385767085,-0.684396181653615,0.272653462928773,0.265596327378816,0.424611605296097,0.522790172355695,-0.904667131244491,-0.809333203067152,0.425185242992251,0.478067831581338,0.78234894931777,0.464055535360217,1,0.392192171726592,0.235042735042735,0.417899675207506,0.488817849635384,0.998312881159803,0.392963759397206,0.387446538196701,0.736116740980948,0.694313280077485,0.773724720074463,0.257243835955838,0.320971921270779
"BB.B",93.75,0,241.05,183.45,389.928698771,0.823125,17.06125,73.30875,0.5294,4.11825,0.141452707605074,5.32805141585769,4.71071193010508,0.617339485752615,4.91802697702187,2.07682410207113,2.84120287495075,1200.10065952987,466.110285180888,733.990374348986,32.6929949432894,NA,0.547922611621681,0.452077388378319,2.07589790215,16.0864192557818,-1,2.36656610797771,2.24322536564847,2.50171549838487,-0.0871091880591195,1.22092681819923,1.8568656337596,-0.887172773298112,0.573257662947565,0.520412676283072,-0.518774813007565,0.425600166065277,0.0912409380585213,-0.114413000889982,2.91722593037413,2.76910657590543,2.43391880773888,2.17477873023463,1.47532743138951,0.307456607533188,-0.823908740944319,0.85,0.55,0.15,NA,"Pacific","East Pacific",38.1496437,-122.9063846,18.4,34,-0.234704070301943,14.5,1.16136800223497,10.76099968,12.43100023,14.57499981,3.81400001,33.46650124,35.05600166,0.541500002,82.90740741,4.759000063,2.18151325070466,8.21449995,0.78945002,-0.102675359924584,8.312499762,0.919731645876624,5,-1063,627,0.40069,0.03908,"BB.B",0.0280567052680683,1.08503030262805,-0.206169862234799,-1.43820853788727,-0.679154091347416,0.538642304531229,1.79819094456636,-0.659987380862658,-0.177368681605247,0.0795303725756299,-0.667886787990403,0.129034811027892,0.670892601275661,-0.810067636764642,-1.39274354846626,0.656651834439837,0.0142849646677335,0.754019689668214,-0.225542205359285,0.513379922286642,0.0735596719398055,0.273826376825769,0.0843470806054068,-0.549231464554299,-0.698168086674174,0.416029789575801,0.424798588961912,0.452700824220334,0.527803426371452,0.800554055754129,0.382093004748968,0,0.533020570191267,0.536314782455186,0.837093645836772,0.523394827137595,0.471632512535035,0.675017548716225,0.654678442745041,0.650113222874284,0.345307646881774,0.348804564593128
"BC.A",53.25,42.25,45.4375,75.8125,75.0300119992857,0.7545,16.7416,59.6941,0.035585,2.70468,0.0146094334953704,4.70411147084149,2.20078916689809,1.55486762699658,18.2932781058012,3.26823255019873,8.5468817815326,1051.28808301136,139.178007727605,590.24654281865,0.582186613338364,NA,0.221651430600343,0.454024037538951,2.7535080612,13.0294762753586,1.35533590765141,1.615899597544,1.83368354656505,1.80918455889117,-0.126279978535178,1.21279478068938,1.76710251636642,-1.85797369363902,0.536460502190365,0.194375964027706,0.0549329700992612,1.05788145470498,0.203651572561124,0.697753559514609,2.26558496770213,2.85226677432134,1.75488599116471,2.50876828848238,-0.211805989490883,0.433926704343997,-0.522878745280338,1,0.65,0.3,NA,"Pacific","East Pacific",49,-123.1,24.5,26,0.863322860120456,14,1.14612803567824,5.703333283,10.95633348,16.5971667,10.89383348,25.96549956,33.05516752,0.681166669,87.2,7.589166641,2.75484421356272,7.890999953,1.249566654,0.0967594270829808,11.33983334,1.05460667183641,5,-893,-647,-0.48062,0.47698,"BC.A",-2.41670000240764,0.664522270505652,0.316612813588766,-1.26739055923153,1.11547174082093,-1.43190476626349,1.84686121963353,-0.0355725748081152,1.60651057672655,0.188882110283102,1.13045279762998,-1.0793476937151,0.708981742875706,0.0906348150363789,-0.560670439208612,-0.698892906832709,-1.23045360519202,0.461796205111199,0.346362710086562,-0.708638601396807,0.753922547479796,-1.80993917711993,-1.2716174903712,-0.434828580321522,0.132476968342745,1,0.456704142986384,0.932727230152753,0.115149994388562,0.812483980614008,0.640239340657943,0.242165242165242,0.0732587513533021,0.136938762505124,0.744889589829403,0.685961073964082,0.0442726770179709,0.89148467082563,0.10694767622741,0.267822307764415,0.373652449923835,0.556774909013327
"BC.B",60,0.1,70.35,253.175,210.084033609,0.5535,9.987,50.169,0.05265,1.87345,0.0292714193723686,40.8477788549634,24.1909657832966,13.1914825856631,63.8775357657881,15.1498824267513,17.4337215911318,4472.0841607254,1113.11396547921,1151.71871404405,2.09626453128512,NA,0.257501125645126,0.286121248196224,1.97843164205,18.4588767813298,-0.933889035263304,1.78871602594962,2.39297444514067,2.21180849357636,-0.258348775221173,0.992688479618301,1.68850309037684,-1.548802594728,1.58631378613752,1.34244233283811,1.02025152964295,1.73909310224069,1.10313751583516,1.10696253689608,3.36650061357379,3.51927345786981,2.88368905746984,2.88738189942324,0.245588923248988,0.293021293461701,-0.531478917042254,0.368421052631579,0.25,0.294117647058824,NA,"Pacific","East Pacific",49,-122.8,22.5,26,0.89209460269048,14,1.14612803567824,4.176250022,10.66499996,17.04850006,12.87225008,27.12599945,33.29874992,0.681250006,92.09803922,7.803750038,2.79351929257702,7.879500031,1.120574981,0.0494409217769719,20.74549961,1.31692389832399,250,-848,-561,-0.4667,0.52477,"BC.B",-2.5144449756122,-0.0447645274513139,1.32650332450796,-0.107290627326334,0.279920301853381,-1.40293508437739,1.1269874303417,0.531537852299031,1.60651057672655,0.931537798322963,0.293172289580063,-1.06158285202319,0.145611705277666,0.908677159939892,-0.34041579264041,-0.607388316762506,-1.28022008615744,-0.0311081957943758,1.45114558443668,-0.689337222937838,0.828173613526967,-1.2450142269521,-0.839783272140302,0.4827676959505,1.02740316118142,1,0.673388776199283,0.709233983243093,0.121216552671247,0.636030484039438,0.874694829851926,0.306267806267806,0.104294478527607,0.120971121125514,0.589365522158144,1,0.0510226842916857,0.915108703174587,0.255441721248189,0.389570546617252,0.600998866034621,0.780839456717792
"JN.A",83.75,0.75,144.025,53.9,133.6898395475,0.795,31.49,142.917,2.77276825,4.42125,0.619009506657133,21.9981577433156,21.9981577433156,0,52.6123456679262,52.6123456679262,0,7136.83237048547,7136.83237048547,0,92.0734616130971,NA,1,0,2.37821621295,15.5130481630007,-0.743864473585309,2.1259738854612,1.70259156625906,2.11920035869813,-0.100373136545323,1.49605540035199,2.15158176741333,-0.263305301394926,1.23455816251617,1.23455816251617,-2,1.64207147291861,1.64207147291861,-2,3.35667722345295,3.7642364033698,3.7642364033698,0,1.85876906486766,0.372634813336879,-1.25527250510331,0.8,0.8,0.0555555555555556,NA,"Pacific","West Pacific",43.021167,144.903217,21,26,0.351941176353608,15,1.17609125905568,0.202600001,8.268200016,19.60700035,19.40439987,32.58700027,27.66939964,0.666999996,91.546875,6.615999985,2.57215862360781,8.152200317,0.705379999,-0.151576858883275,4.25899992,0.629307631916069,5,-478,-503,-0.34427,-0.26763,"JN.A",-2.2569716868582,-1.38144747177251,-1.00072508661119,-2.59295934483057,0.730305619620756,-1.98178140985291,-0.19747731565787,-0.474884129990772,0.623545973275723,-0.659700991429954,0.744489623369175,-1.41654406203747,-0.890908535978908,-0.543060912580584,1.47056685692036,-0.545675918808183,-1.14912854145914,-0.960008758682499,-1.09475623908407,-0.519576607655401,-0.40297400597038,0.747412198730417,0.955732934451116,0.819761450525206,0.899943218788614,0.67821698490204,0.209113070694631,0.829703020017953,0,0.311381303866788,0.458618618033743,0.833333333333333,0.125225550342837,0.163032016994284,0.296273405842959,0.276317280966499,0.110390743955543,0.52340158383343,0.779163428473178,0.895785493824951,0.68449345328986,0.748927043637008
"JN.B",94.25,3.25,208.375,83.65,192.57703081,0.9575,70.026,247.431,1.39737415,9.16675,0.166186837082841,8.34594177399156,2.02097654864244,6.32496522534913,8.32997641776111,5.00086882261342,3.3291075951477,1577.51313045999,942.176318575351,635.33681188464,33.8184671978779,NA,0.568693221073225,0.431306778926775,2.36109257945,14.539119268302,-0.570529154885368,2.25516850174602,1.87831952160832,2.27316846698113,-0.019239308186757,1.84418846081741,2.38774640042705,-0.810080399408504,0.857912590939978,0.211685462726358,0.700324842938917,0.832991357865667,0.556672332198339,0.409008286046401,3.10994854946191,3.08500940362811,2.80838448328163,2.65996781805851,1.44128969720172,0.370112331509771,NA,0.55,1,0,NA,"Pacific","West Pacific",43.052222,144.842699,16,30,0.421603926869831,15,1.17609125905568,0.374666671,8.511666616,21.20933342,20.83466657,32.57100042,27.34366608,0.674999992,91.56481481,6.586666584,2.56645019121743,8.152333577,0.703433335,-0.152777054751634,5.186333259,0.714860419856124,5,-600,-693,-0.42613,-0.32461,"JN.B",-2.05983604705267,-1.49874139317738,-1.2349412432654,-3.71252216512052,0.0197296295226598,-1.93835909310805,-0.200235756725859,-0.508583023331221,0.628651646198879,-1.37640622840106,0.0324431852317949,-1.38991654897393,-0.893067279735523,-0.591670707800706,0.873432037335459,-0.747837222451655,-1.04875768100112,-1.0415197782397,-1.35098005341832,-0.633083133564249,-0.491503525605614,0.231786632276183,0.192025725625729,-0.114646226457401,-0.162967243305119,0.679888376548849,0,0.639638198396316,0.00909309312879808,0.310705162328116,0.444686780166233,0.65954415954416,0.0566582461205341,0.195236140606525,0.270554574162259,0.203484642674845,0.0706956580772177,0.495234658467379,0.643628033804961,0.68047136690231,0.452981793923204,0.482803922149258
"JS.A",89.75,0,411.375,179.1,120.957473881,0.959875,21.82425,97.7775,0.06,7.8495,0.00796433614365241,1.50497688511278,1.3064342011705,0.198542683942279,0.665975921211319,0.554889780362005,0.111086140849314,243.865394503933,202.902583539636,40.9628109642968,3.04158654608858,NA,0.833223323736741,0.166776676263259,1.4014570058,25.1591448469536,-1,2.58275697366008,2.2198394441046,2.07035654866436,-0.0191004204191072,1.33333900510154,1.98829015020116,-2.13176710981195,-0.202920616047062,-0.27074371692416,-1.29557273745045,-0.634851987337677,-0.711174345866313,-1.479139668365,2.28310067187838,1.84088512103021,1.76124496335572,0.781238245168527,0.373585585757728,0.142586878263497,-0.477121254719663,0.764705882352941,0.9,0.333333333333333,NA,"Pacific","West Pacific",34.297834,132.91631,22,32.5,-0.530177984021837,14.2,1.15228834438306,11.74499989,19.02700043,27.00050068,15.25549984,32.65649986,34.39550018,0.665499985,110.5784314,4.375,2.09165006633519,8.236000061,0.238399997,-0.622693754396916,1.766000032,0.246990707110985,100,-552,-762,-0.48873,-1.18564,"JS.A",1.93827853181504,-2.57355976929237,-0.652244510824117,-2.54245304023055,-0.582146414452836,1.30657323765138,-1.46781337292318,-0.584018166415158,-0.810634838115813,-0.627368609226053,-0.570678365854958,0.599946832459132,-1.88506790528687,-0.700483980113995,1.10837032700821,-0.821253695880074,0.986867134920389,-1.78844289775532,-0.713531375585937,-0.719883872898404,-1.82928120709956,-1.08692653035692,-1.65403798907321,-1.82617901479187,-2.09131280427494,0.208723959349473,0.21854668911509,0.478648431600584,0.688616298986595,0,0.413500290677086,0.727920227920228,0.0317574882713822,0.848369060867771,0.0348810407725072,0.384681964643883,0.0403400219181271,0.0696016688581965,0.296996057852479,0.160005418197551,0.0289272771973878,0
"JS.B",73,19.5,148.9,53.825,95.492742541,0.884,17.957,86.327,0.0224,6.2725,0.00465841505842921,3.85253720743636,3.02391464456597,0.828622562870379,6.20352405607249,4.28574058762466,1.91778346844782,880.058483713446,573.37812528917,306.680358424275,0.380888175682927,NA,0.763435736566937,0.236564263433063,1.32497478725,26.8667904593971,0.883166615830506,2.12451575868841,1.67130678888036,1.93056254781421,-0.0553885356176408,1.24452593560345,1.92824103155454,-2.53808962783745,0.367000900637287,0.223639367164831,-0.471016836806281,0.54600988027877,0.381098573385041,-0.398017327053168,2.48608420685803,2.66524103864938,2.50014341164514,1.7127516379358,-0.541228782363977,0.119190007673238,-0.522878745280338,0.95,0.8,0.3,NA,"Pacific","West Pacific",34.274018,132.26617,20.4,30.4,-0.253755128279802,14.27,1.15442397311465,10.96674991,19.50774956,29.6965003,18.72975016,33.93050003,34.22149944,0.683750004,145.5637255,1.35225001,1.16286285089859,8.287749767,0.217975002,-0.661593309679623,6.616999984,0.820661133593465,250,-553,-850,-0.57192,-1.32644,"JS.B",0.964644953788424,-2.73263908151326,1.02142593512522,-2.06044749429422,1.10142761323258,0.720303211578224,-1.40767386957714,0.634611815755408,-0.81455036561019,-0.318805397978812,1.11637960747807,0.240433247089001,-1.83800299645818,1.05735872658727,1.10347577930669,-0.91488629967284,0.491145305555823,-1.89899182283409,1.11740220186473,-0.835234567869783,-2.04804141005921,-2.21680674312152,-2.22156829038267,-0.692118533859379,-0.539982583663928,0.207442173374255,0.308576170244593,0.928970707779201,0.565845144765845,0.0147412307622776,0.917307794400296,0.726495726495726,0,0.689316054872873,0,0.905132116121782,0,0,0,0,0.30990551638593,0.388409800722118
"KO.A",38.75,0,119.725,39.325,78.821656061,1.0745,26.405,118.137,0.624,6.0915,0.103174070027987,8.64018709666974,0.506044461614338,6.36420242408281,38.5892097556577,0.318193185435577,36.6688567468716,4344.32225603949,34.3139040058266,4121.61526905676,12.4820137121533,NA,0.00808261287422888,0.94388644563949,2.50389628405,13.7636467055837,-1,2.06396480394676,1.56834362421146,1.87887639999314,0.0301424079187564,1.41026741708792,2.0706958322664,-0.99750281945784,0.901812311148767,-0.915454344554245,0.76024591045494,1.54406230585744,-1.1626776502475,1.51830623757578,2.96177558373565,3.60408735832378,0.888244208091079,3.57832963524104,1.06219212077912,0.396516997642603,-1.30102999566398,NA,1,0.05,NA,"Pacific","West Pacific",34.89466111,128.0202722,23.8,31.3,0.167686475851491,14.14,1.15044940946088,8.558399963,17.66940002,27.50720024,18.94880028,32.77419891,34.3526001,0.551199996,131.265625,1.446199989,1.20258055405865,8.051200104,0.343919992,-0.463542577993271,6.737200069,0.828479444424454,50,-515,-203,-0.04034,-0.95245,"KO.A",0.602869668062171,-0.92416443910434,0.451078986326441,-2.80474271004125,1.36697759357684,0.603057879434409,0.325174164246049,0.834631069718279,-0.712512023260498,-0.795277346949285,1.38247911025676,0.168535848531438,-0.48188380377717,1.34588140526961,1.28946859196428,-0.226473860423753,0.306948796205154,-0.642229237181712,0.49346373065638,-0.0981493120351194,-1.46697515789387,-0.236433878062282,-0.0697562278816406,0.599445566131123,0.771185921319256,0.240845416320759,0.169555960527488,1,0.541292730154604,0.43949220676498,1,0.780626780626781,0.233489714904367,0.630216360708618,0.396541051487082,0.727775124119147,0.257770751908138,0.184874489604239,0.520553353670554,0.606666442564573,0.629907326444655,0.716689809044946
"KO.B",72.75,0,190.825,110.175,160.8280254755,0.932,16.68,77.973,0.2175,5.5505,0.0409804646669614,3.2526186267489,0.624443668897291,0.50934337535995,4.07506452358133,1.05426048059733,0.734560243417872,761.096506608643,227.803208567268,128.075843114913,8.13266774817653,NA,0.228779910300523,0.223699476355619,1.0926171659,32.3975392321618,-1,2.25680859931527,2.03597166138985,2.18614332056933,-0.0315731720737252,1.21152485501731,1.88576069103955,-1.40268011147396,0.399232667734342,-0.671149481979832,-0.84795007363381,0.387902245108173,-0.729566258879373,-0.907259797530021,2.65248232554321,2.6402835355184,1.44985860281557,1.26413672611334,0.847093235437231,0.0368301864063634,NA,1,0.947368421052632,0,NA,"Pacific","West Pacific",34.80097222,128.5836944,23.3,33.6,0.20581314067537,14.25,1.15381486434453,10.73950028,18.13600016,27.85050011,17.11100006,32.90575027,34.45699978,0.525749996,139.6990741,1.297499955,1.13907855523664,8.107999802,0.309650004,-0.509128910044276,5.042750001,0.702667438141794,100,-361,-195,-0.04323,-1.00142,"KO.B",1.67637313478114,-2.01534012273921,0.647161972294435,-1.82104165241097,0.129905236770092,1.50288252204742,-1.02960782217019,0.4286430615996,-0.727915173441578,-0.165546092176957,0.142846787103182,0.720327973462337,-1.5421301830422,0.76025404543028,2.04322893799769,-0.217961805533502,0.853518999165614,-1.40051953410249,0.707971266380923,-0.102156566614604,-1.54305958359653,-0.502100862321096,-0.635686936667098,-0.726452390630051,-0.747692866530946,0.235803045425739,0.353292634413593,0.66910796296808,0.729725542778199,0.107411747446473,0.83215593912476,1,0.236376759292674,0.805584134767584,0.157280880070275,0.788749744299762,0.256369349535937,0.160667147814567,0.450721130630409,0.447112001997923,0.301398856659949,0.336404941598999
